slot_id_grouped,sample_count,failed_count,failure_rate,expected_failed_at_global_rate,lift_vs_global
rare_slot,175,16,0.09142857142857143,0.8571798771421532,18.665860488167514
11.0,289,8,0.02768166089965398,1.4155713399661842,5.651428348493625
22.0,2042,53,0.02595494613124388,10.002064623567295,5.298905975384234
missing,127240,1247,0.009800377239861678,623.2432432432432,2.0008239375542063
12.0,13120,83,0.006326219512195122,64.26399993202885,1.2915473684767205
27.0,27633,165,0.005971121485180762,135.35115168610923,1.2190513190656032
13.0,32295,190,0.005883263663105744,158.1864236131762,1.201114455085094
24.0,29485,168,0.005697812447006952,144.42256387163647,1.163253133695364
0.0,27595,156,0.0056531980431237545,135.16502119850122,1.1541447529601676
8.0,27653,150,0.005424366253209417,135.44911510063977,1.1074269469279945
14.0,27653,147,0.005315878928145229,135.44911510063977,1.0852784079894346
16.0,52727,276,0.005234509833671554,258.2658478975675,1.0686662686793424
25.0,24034,76,0.0031621869018889906,117.72263524134004,0.6455852763081155
2.0,139469,409,0.002932551319648094,683.1429730579368,0.5987033697634375
26.0,24674,71,0.002877522898597714,120.85746450631706,0.5874688856830098
6.0,75103,126,0.0016776959642091527,367.8673160743264,0.3425147994787939
19.0,74995,118,0.001573438229215281,367.33831363586154,0.3212297645515194
