rack_id,sample_count,failed_count,failure_rate,expected_failed_at_global_rate,lift_vs_global
8544.0,120,63,0.525,0.5877804871831906,107.1828707718994
11248.0,132,65,0.49242424242424243,0.6465585359015098,100.53227417277722
28062.0,108,46,0.42592592592592593,0.5290024384648716,86.95612090841927
9289.0,121,33,0.2727272727272727,0.5926786579097173,55.67941338799968
10937.0,138,36,0.2608695652173913,0.6759475602606693,53.25856932765188
27387.0,139,36,0.2589928057553957,0.6808457309871959,52.8754141526328
7144.0,261,62,0.23754789272030652,1.2784225596234398,48.49726683348121
20661.0,264,48,0.18181818181818182,1.2931170718030196,37.119608925333125
2216.0,108,16,0.14814814814814814,0.5290024384648716,30.245607272493658
24850.0,144,17,0.11805555555555555,0.7053365846198288,24.10196829526838
1822.0,288,33,0.11458333333333333,1.4106731692396577,23.39308687481931
26040.0,143,16,0.11188811188811189,0.7004384138933023,22.84283626174346
10596.0,120,12,0.1,0.5877804871831906,20.41578490893322
9433.0,276,26,0.09420289855072464,1.3518951205213385,19.232261146096512
16449.0,120,10,0.08333333333333333,0.5877804871831906,17.013154090777682
5726.0,144,11,0.0763888888888889,0.7053365846198288,15.595391249879544
3557.0,108,8,0.07407407407407407,0.5290024384648716,15.122803636246829
24709.0,155,11,0.07096774193548387,0.7592164626116213,14.488621548275187
22063.0,132,9,0.06818181818181818,0.6465585359015098,13.91985334699992
19317.0,120,8,0.06666666666666667,0.5877804871831906,13.610523272622146
1917.0,132,8,0.06060606060606061,0.6465585359015098,12.373202975111042
631.0,192,11,0.057291666666666664,0.9404487794931051,11.696543437409655
14065.0,179,10,0.055865921787709494,0.8767725600482594,11.40546642957163
26777.0,204,11,0.05392156862745098,0.9992268282114242,11.008511470503207
2791.0,168,9,0.05357142857142857,0.822892682056467,10.937027629785652
10952.0,168,9,0.05357142857142857,0.822892682056467,10.937027629785652
8414.0,132,7,0.05303030303030303,0.6465585359015098,10.826552603222162
3490.0,192,10,0.052083333333333336,0.9404487794931051,10.633221306736052
18356.0,167,8,0.04790419161676647,0.8179945113299404,9.78001672284226
16184.0,126,6,0.047619047619047616,0.6171695115423502,9.721802337587247
8587.0,202,9,0.04455445544554455,0.989430486758371,9.09614179110886
20379.0,275,12,0.04363636363636364,1.346996949794812,8.90870614207995
7831.0,262,11,0.04198473282442748,1.2833207303499663,8.571512748025397
20705.0,180,7,0.03888888888888889,0.8816707307747861,7.939471909029585
23172.0,286,11,0.038461538461538464,1.4008768277866046,7.852224964974315
19282.0,132,5,0.03787878787878788,0.6465585359015098,7.733251859444401
22156.0,132,5,0.03787878787878788,0.6465585359015098,7.733251859444401
25420.0,132,5,0.03787878787878788,0.6465585359015098,7.733251859444401
17943.0,216,8,0.037037037037037035,1.0580048769297432,7.561401818123414
10388.0,108,4,0.037037037037037035,0.5290024384648716,7.561401818123414
28263.0,108,4,0.037037037037037035,0.5290024384648716,7.561401818123414
26543.0,288,10,0.034722222222222224,1.4106731692396577,7.088814204490701
27405.0,144,5,0.034722222222222224,0.7053365846198288,7.088814204490701
10319.0,180,6,0.03333333333333333,0.8816707307747861,6.805261636311073
13530.0,123,4,0.032520325203252036,0.6024749993627705,6.639279645181535
18943.0,132,4,0.030303030303030304,0.6465585359015098,6.186601487555521
9054.0,168,5,0.02976190476190476,0.822892682056467,6.076126460992029
20197.0,168,5,0.02976190476190476,0.822892682056467,6.076126460992029
5408.0,143,4,0.027972027972027972,0.7004384138933023,5.710709065435865
4077.0,215,6,0.027906976744186046,1.0531067062032167,5.697428346679038
21740.0,180,5,0.027777777777777776,0.8816707307747861,5.671051363592561
7385.0,108,3,0.027777777777777776,0.5290024384648716,5.671051363592561
9572.0,156,4,0.02564102564102564,0.7641146333381479,5.2348166433162096
18870.0,119,3,0.025210084033613446,0.5828823164566641,5.146836531663837
9984.0,120,3,0.025,0.5877804871831906,5.103946227233305
2319.0,174,4,0.022988505747126436,0.8522817064156265,4.693283887111085
4838.0,179,4,0.0223463687150838,0.8767725600482594,4.5621865718286525
21004.0,180,4,0.022222222222222223,0.8816707307747861,4.536841090874049
11916.0,135,3,0.022222222222222223,0.6612530480810895,4.536841090874049
12301.0,107,2,0.018691588785046728,0.5241042677383451,3.816034562417424
3910.0,108,2,0.018518518518518517,0.5290024384648716,3.780700909061707
18171.0,108,2,0.018518518518518517,0.5290024384648716,3.780700909061707
11146.0,178,3,0.016853932584269662,0.8718743893217329,3.4408626251011043
21364.0,180,3,0.016666666666666666,0.8816707307747861,3.4026308181555365
17333.0,120,2,0.016666666666666666,0.5877804871831906,3.4026308181555365
19017.0,120,2,0.016666666666666666,0.5877804871831906,3.4026308181555365
20260.0,120,2,0.016666666666666666,0.5877804871831906,3.4026308181555365
16584.0,185,3,0.016216216216216217,0.906161584407419,3.310667823070252
22814.0,251,4,0.01593625498007968,1.229440852358174,3.253511539272226
19939.0,129,2,0.015503875968992248,0.63186402372193,3.1652379703772433
19155.0,131,2,0.015267175572519083,0.6416603651749831,3.1169137265546896
4894.0,132,2,0.015151515151515152,0.6465585359015098,3.0933007437777604
12491.0,133,2,0.015037593984962405,0.6514567066280363,3.0700428434486042
20380.0,204,3,0.014705882352941176,0.9992268282114242,3.002321310137238
12660.0,276,4,0.014492753623188406,1.3518951205213385,2.958809407091771
20672.0,276,4,0.014492753623188406,1.3518951205213385,2.958809407091771
13532.0,144,2,0.013888888888888888,0.7053365846198288,2.8355256817962804
13770.0,144,2,0.013888888888888888,0.7053365846198288,2.8355256817962804
16319.0,144,2,0.013888888888888888,0.7053365846198288,2.8355256817962804
16240.0,154,2,0.012987012987012988,0.7543182918850947,2.651400637523795
147.0,156,2,0.01282051282051282,0.7641146333381479,2.6174083216581048
8274.0,156,2,0.01282051282051282,0.7641146333381479,2.6174083216581048
19386.0,175,2,0.011428571428571429,0.8571798771421532,2.3332325610209392
9256.0,264,3,0.011363636363636364,1.2931170718030196,2.3199755578333203
23048.0,264,3,0.011363636363636364,1.2931170718030196,2.3199755578333203
19130.0,176,2,0.011363636363636364,0.8620780478686797,2.3199755578333203
6612.0,180,2,0.011111111111111112,0.8816707307747861,2.2684205454370243
23529.0,181,2,0.011049723756906077,0.8865689015013126,2.2558878352412397
12375.0,274,3,0.010948905109489052,1.3420987790682855,2.235304917036484
20817.0,183,2,0.01092896174863388,0.8963652429543658,2.2312333233806796
6208.0,190,2,0.010526315789473684,0.9306524380400519,2.149029990414023
9159.0,288,3,0.010416666666666666,1.4106731692396577,2.1266442613472103
2710.0,192,2,0.010416666666666666,0.9404487794931051,2.1266442613472103
10013.0,101,1,0.009900990099009901,0.4947152433791855,2.0213648424686355
168.0,102,1,0.00980392156862745,0.4996134141057121,2.001547540091492
1248.0,104,1,0.009615384615384616,0.5094097555587653,1.9630562412435788
23060.0,105,1,0.009523809523809525,0.5143079262852919,1.9443604675174495
23147.0,106,1,0.009433962264150943,0.5192060970118184,1.9260174442389828
548.0,107,1,0.009345794392523364,0.5241042677383451,1.908017281208712
16047.0,107,1,0.009345794392523364,0.5241042677383451,1.908017281208712
8089.0,108,1,0.009259259259259259,0.5290024384648716,1.8903504545308536
20400.0,108,1,0.009259259259259259,0.5290024384648716,1.8903504545308536
21023.0,108,1,0.009259259259259259,0.5290024384648716,1.8903504545308536
22085.0,108,1,0.009259259259259259,0.5290024384648716,1.8903504545308536
25150.0,108,1,0.009259259259259259,0.5290024384648716,1.8903504545308536
3491.0,117,1,0.008547008547008548,0.5730859750036109,1.7449388811054034
24601.0,118,1,0.00847457627118644,0.5779841457301376,1.730151263468917
3642.0,120,1,0.008333333333333333,0.5877804871831906,1.7013154090777682
3755.0,120,1,0.008333333333333333,0.5877804871831906,1.7013154090777682
13628.0,120,1,0.008333333333333333,0.5877804871831906,1.7013154090777682
16805.0,120,1,0.008333333333333333,0.5877804871831906,1.7013154090777682
21237.0,120,1,0.008333333333333333,0.5877804871831906,1.7013154090777682
23016.0,121,1,0.008264462809917356,0.5926786579097173,1.6872549511515058
2172.0,123,1,0.008130081300813009,0.6024749993627705,1.6598199112953838
19401.0,127,1,0.007874015748031496,0.6220676822688769,1.6075421188136392
21395.0,131,1,0.007633587786259542,0.6416603651749831,1.5584568632773448
6646.0,263,2,0.0076045627376425855,1.288218901076493,1.5525311717819938
2712.0,264,2,0.007575757575757576,1.2931170718030196,1.5466503718888802
26343.0,264,2,0.007575757575757576,1.2931170718030196,1.5466503718888802
27972.0,264,2,0.007575757575757576,1.2931170718030196,1.5466503718888802
22464.0,132,1,0.007575757575757576,0.6465585359015098,1.5466503718888802
2293.0,133,1,0.007518796992481203,0.6514567066280363,1.5350214217243021
24592.0,276,2,0.007246376811594203,1.3518951205213385,1.4794047035458855
27417.0,138,1,0.007246376811594203,0.6759475602606693,1.4794047035458855
8586.0,140,1,0.007142857142857143,0.6857439017137225,1.458270350638087
25678.0,141,1,0.0070921985815602835,0.6906420724402491,1.4479280077257601
17953.0,142,1,0.007042253521126761,0.6955402431667757,1.4377313316150155
5540.0,143,1,0.006993006993006993,0.7004384138933023,1.4276772663589663
27073.0,143,1,0.006993006993006993,0.7004384138933023,1.4276772663589663
13064.0,288,2,0.006944444444444444,1.4106731692396577,1.4177628408981402
28208.0,288,2,0.006944444444444444,1.4106731692396577,1.4177628408981402
3120.0,144,1,0.006944444444444444,0.7053365846198288,1.4177628408981402
4590.0,144,1,0.006944444444444444,0.7053365846198288,1.4177628408981402
5122.0,144,1,0.006944444444444444,0.7053365846198288,1.4177628408981402
11966.0,145,1,0.006896551724137931,0.7102347553463554,1.4079851661333254
687.0,148,1,0.006756756756756757,0.7249292675259352,1.3794449262792716
12458.0,150,1,0.006666666666666667,0.7347256089789884,1.3610523272622146
7409.0,156,1,0.00641025641025641,0.7641146333381479,1.3087041608290524
14327.0,156,1,0.00641025641025641,0.7641146333381479,1.3087041608290524
15969.0,156,1,0.00641025641025641,0.7641146333381479,1.3087041608290524
24019.0,156,1,0.00641025641025641,0.7641146333381479,1.3087041608290524
27612.0,156,1,0.00641025641025641,0.7641146333381479,1.3087041608290524
23340.0,157,1,0.006369426751592357,0.7690128040646745,1.3003684655371477
